ID,Anho,Mes,Hombre,Mujer,Desconocido,Sin establecer,Total
200401,2004,1,454.0,189.0,0.0,0.0,643.0
200402,2004,2,910.0,491.0,0.0,0.0,1401.0
200403,2004,3,1838.0,1267.0,0.0,0.0,3105.0
200404,2004,4,8437.0,7117.0,0.0,0.0,15554.0
200405,2004,5,9778.0,7082.0,0.0,0.0,16860.0
200406,2004,6,11223.0,8072.0,0.0,0.0,19295.0
200407,2004,7,17096.0,14795.0,0.0,0.0,31891.0
200408,2004,8,25014.0,20587.0,0.0,0.0,45601.0
200409,2004,9,12737.0,10015.0,0.0,0.0,22752.0
200410,2004,10,8337.0,6219.0,0.0,0.0,14556.0
200411,2004,11,2454.0,1956.0,0.0,0.0,4410.0
200412,2004,12,2105.0,1697.0,0.0,0.0,3802.0
200501,2005,1,196.0,73.0,0.0,0.0,269.0
200502,2005,2,333.0,232.0,0.0,0.0,565.0
200503,2005,3,1875.0,1246.0,0.0,0.0,3121.0
200504,2005,4,1944.0,1363.0,0.0,0.0,3307.0
200505,2005,5,5635.0,3675.0,0.0,0.0,9310.0
200506,2005,6,7859.0,4760.0,0.0,0.0,12619.0
200507,2005,7,10677.0,8127.0,0.0,0.0,18804.0
200508,2005,8,14468.0,10363.0,0.0,0.0,24831.0
200509,2005,9,7155.0,5013.0,0.0,0.0,12168.0
200510,2005,10,4142.0,2731.0,0.0,0.0,6873.0
200511,2005,11,928.0,460.0,0.0,0.0,1388.0
200512,2005,12,495.0,173.0,0.0,0.0,668.0
200601,2006,1,241.0,83.0,0.0,0.0,324.0
200602,2006,2,225.0,126.0,0.0,0.0,351.0
200603,2006,3,710.0,386.0,0.0,0.0,1096.0
200604,2006,4,4333.0,3118.0,0.0,0.0,7451.0
200605,2006,5,6212.0,3935.0,0.0,0.0,10147.0
200606,2006,6,8037.0,4974.0,0.0,0.0,13011.0
200607,2006,7,10513.0,8207.0,0.0,0.0,18720.0
200608,2006,8,15373.0,10810.0,0.0,0.0,26183.0
200609,2006,9,7819.0,5651.0,0.0,0.0,13470.0
200610,2006,10,4602.0,3098.0,0.0,0.0,7700.0
200611,2006,11,1167.0,588.0,0.0,0.0,1755.0
200612,2006,12,605.0,243.0,0.0,0.0,848.0
200701,2007,1,252.0,98.0,0.0,0.0,350.0
200702,2007,2,418.0,247.0,0.0,0.0,665.0
200703,2007,3,1057.0,623.0,0.0,0.0,1680.0
200704,2007,4,4690.0,3425.0,0.0,0.0,8115.0
200705,2007,5,7725.0,5199.0,0.0,0.0,12924.0
200706,2007,6,9110.0,6072.0,0.0,0.0,15182.0
200707,2007,7,11295.0,8861.0,0.0,0.0,20156.0
200708,2007,8,15912.0,11377.0,0.0,0.0,27289.0
200709,2007,9,8802.0,6480.0,0.0,0.0,15282.0
200710,2007,10,5633.0,3810.0,0.0,0.0,9443.0
200711,2007,11,1537.0,959.0,0.0,0.0,2496.0
200712,2007,12,559.0,236.0,0.0,0.0,795.0
200801,2008,1,211.0,95.0,0.0,0.0,306.0
200802,2008,2,486.0,217.0,0.0,0.0,703.0
200803,2008,3,3023.0,2304.0,0.0,0.0,5327.0
200804,2008,4,3391.0,2257.0,0.0,0.0,5648.0
200805,2008,5,9506.0,6495.0,0.0,0.0,16001.0
200806,2008,6,9370.0,6534.0,0.0,0.0,15904.0
200807,2008,7,11583.0,9483.0,0.0,0.0,21066.0
200808,2008,8,17558.0,12438.0,0.0,0.0,29996.0
200809,2008,9,10138.0,7240.0,0.0,0.0,17378.0
200810,2008,10,5771.0,4107.0,0.0,0.0,9878.0
200811,2008,11,1543.0,766.0,0.0,0.0,2309.0
200812,2008,12,660.0,425.0,0.0,0.0,1085.0
200901,2009,1,345.0,178.0,0.0,0.0,523.0
200902,2009,2,482.0,216.0,0.0,0.0,698.0
200903,2009,3,1224.0,626.0,0.0,0.0,1850.0
200904,2009,4,5990.0,4326.0,0.0,0.0,10316.0
200905,2009,5,10048.0,6450.0,0.0,0.0,16498.0
200906,2009,6,11591.0,7763.0,0.0,0.0,19354.0
200907,2009,7,15193.0,11559.0,0.0,0.0,26752.0
200908,2009,8,20661.0,14885.0,0.0,0.0,35546.0
200909,2009,9,11973.0,8650.0,0.0,0.0,20623.0
200910,2009,10,6989.0,4742.0,0.0,0.0,11731.0
200911,2009,11,1583.0,770.0,0.0,0.0,2353.0
200912,2009,12,716.0,294.0,0.0,0.0,1010.0
201001,2010,1,788.0,400.0,0.0,0.0,1188.0
201002,2010,2,1109.0,531.0,0.0,0.0,1640.0
201003,2010,3,3462.0,2421.0,0.0,0.0,5883.0
201004,2010,4,11000.0,8587.0,0.0,0.0,19587.0
201005,2010,5,16564.0,12282.0,0.0,0.0,28846.0
201006,2010,6,19477.0,14279.0,0.0,0.0,33756.0
201007,2010,7,22571.0,19895.0,0.0,0.0,42466.0
201008,2010,8,33988.0,27546.0,0.0,0.0,61534.0
201009,2010,9,20157.0,16691.0,0.0,0.0,36848.0
201010,2010,10,14779.0,11819.0,0.0,0.0,26598.0
201011,2010,11,4485.0,3590.0,0.0,0.0,8075.0
201012,2010,12,3330.0,2637.0,0.0,0.0,5967.0
201101,2011,1,437.0,207.0,0.0,0.0,644.0
201102,2011,2,558.0,262.0,0.0,0.0,820.0
201103,2011,3,1912.0,1111.0,0.0,0.0,3023.0
201104,2011,4,7929.0,6225.0,0.0,0.0,14154.0
201105,2011,5,11644.0,8161.0,0.0,0.0,19805.0
201106,2011,6,15220.0,10019.0,0.0,0.0,25239.0
201107,2011,7,17167.0,13675.0,0.0,0.0,30842.0
201108,2011,8,23665.0,17824.0,0.0,0.0,41489.0
201109,2011,9,14546.0,11477.0,0.0,0.0,26023.0
201110,2011,10,9436.0,6807.0,0.0,0.0,16243.0
201111,2011,11,2246.0,1345.0,0.0,0.0,3591.0
201112,2011,12,1074.0,424.0,0.0,0.0,1498.0
201201,2012,1,577.0,295.0,0.0,0.0,872.0
201202,2012,2,821.0,484.0,0.0,0.0,1305.0
201203,2012,3,2006.0,1254.0,0.0,0.0,3260.0
201204,2012,4,8260.0,6489.0,0.0,0.0,14749.0
201205,2012,5,12355.0,9421.0,0.0,0.0,21776.0
201206,2012,6,14948.0,10569.0,0.0,0.0,25517.0
201207,2012,7,17741.0,15077.0,0.0,0.0,32818.0
201208,2012,8,23175.0,17921.0,0.0,0.0,41096.0
201209,2012,9,14856.0,12465.0,0.0,0.0,27321.0
201210,2012,10,10411.0,7680.0,0.0,0.0,18091.0
201211,2012,11,2646.0,1524.0,0.0,0.0,4170.0
201212,2012,12,994.0,489.0,0.0,0.0,1483.0
201301,2013,1,559.0,247.0,0.0,0.0,806.0
201302,2013,2,873.0,509.0,0.0,0.0,1382.0
201303,2013,3,3871.0,3357.0,0.0,0.0,7228.0
201304,2013,4,6588.0,4944.0,0.0,0.0,11532.0
201305,2013,5,13652.0,11553.0,0.0,0.0,25205.0
201306,2013,6,16747.0,12627.0,0.0,0.0,29374.0
201307,2013,7,19228.0,17331.0,0.0,0.0,36559.0
201308,2013,8,25332.0,21394.0,0.0,0.0,46726.0
201309,2013,9,16378.0,14516.0,0.0,0.0,30894.0
201310,2013,10,10622.0,8985.0,0.0,0.0,19607.0
201311,2013,11,2943.0,1964.0,0.0,0.0,4907.0
201312,2013,12,1077.0,582.0,0.0,0.0,1659.0
201401,2014,1,596.0,310.0,0.0,0.0,906.0
201402,2014,2,623.0,347.0,0.0,0.0,970.0
201403,2014,3,1959.0,1191.0,0.0,0.0,3150.0
201404,2014,4,9323.0,8024.0,0.0,0.0,17347.0
201405,2014,5,15127.0,12227.0,0.0,0.0,27354.0
201406,2014,6,18218.0,14803.0,0.0,0.0,33021.0
201407,2014,7,20817.0,18764.0,0.0,0.0,39581.0
201408,2014,8,27466.0,23752.0,0.0,0.0,51218.0
201409,2014,9,17972.0,16485.0,0.0,0.0,34457.0
201410,2014,10,12246.0,10959.0,0.0,0.0,23205.0
201411,2014,11,2893.0,1910.0,0.0,0.0,4803.0
201412,2014,12,1260.0,610.0,0.0,0.0,1870.0
201501,2015,1,783.0,434.0,0.0,0.0,1217.0
201502,2015,2,951.0,593.0,0.0,0.0,1544.0
201503,2015,3,2832.0,2248.0,0.0,0.0,5080.0
201504,2015,4,9186.0,8535.0,0.0,0.0,17721.0
201505,2015,5,17122.0,13954.0,0.0,0.0,31076.0
201506,2015,6,19253.0,16670.0,0.0,0.0,35923.0
201507,2015,7,22947.0,21847.0,0.0,0.0,44794.0
201508,2015,8,29070.0,25724.0,0.0,0.0,54794.0
201509,2015,9,18949.0,18480.0,0.0,0.0,37429.0
201510,2015,10,13352.0,12224.0,0.0,0.0,25576.0
201511,2015,11,3104.0,2124.0,0.0,0.0,5228.0
201512,2015,12,1368.0,694.0,0.0,0.0,2062.0
201601,2016,1,893.0,411.0,0.0,0.0,1304.0
201602,2016,2,1113.0,620.0,0.0,0.0,1733.0
201603,2016,3,5816.0,5251.0,0.0,0.0,11067.0
201604,2016,4,8028.0,7072.0,0.0,0.0,15100.0
201605,2016,5,17073.0,15703.0,0.0,0.0,32776.0
201606,2016,6,20553.0,18517.0,0.0,0.0,39070.0
201607,2016,7,22993.0,22478.0,0.0,0.0,45471.0
201608,2016,8,27893.0,25811.0,0.0,0.0,53704.0
201609,2016,9,19668.0,20481.0,0.0,0.0,40149.0
201610,2016,10,14405.0,13817.0,0.0,0.0,28222.0
201611,2016,11,3740.0,2654.0,0.0,0.0,6394.0
201612,2016,12,1859.0,1005.0,0.0,0.0,2864.0
201701,2017,1,914.0,440.0,0.0,0.0,1354.0
201702,2017,2,1120.0,576.0,0.0,0.0,1696.0
201703,2017,3,2882.0,2294.0,0.0,0.0,5176.0
201704,2017,4,13422.0,13503.0,0.0,0.0,26925.0
201705,2017,5,17858.0,17489.0,0.0,0.0,35347.0
201706,2017,6,21077.0,20542.0,0.0,0.0,41619.0
201707,2017,7,23880.0,23590.0,0.0,0.0,47470.0
201708,2017,8,29892.0,27788.0,0.0,0.0,57680.0
201709,2017,9,20172.0,22017.0,0.0,0.0,42189.0
201710,2017,10,15802.0,15539.0,0.0,0.0,31341.0
201711,2017,11,4289.0,3057.0,0.0,0.0,7346.0
201712,2017,12,1862.0,1031.0,0.0,0.0,2893.0
201801,2018,1,1046.0,581.0,0.0,0.0,1627.0
201802,2018,2,1332.0,849.0,0.0,0.0,2181.0
201803,2018,3,5736.0,5320.0,0.0,0.0,11056.0
201804,2018,4,10766.0,11302.0,0.0,0.0,22068.0
201805,2018,5,19846.0,20819.0,0.0,0.0,40665.0
201806,2018,6,22743.0,22942.0,0.0,0.0,45685.0
201807,2018,7,24835.0,26032.0,0.0,0.0,50867.0
201808,2018,8,30448.0,29967.0,0.0,0.0,60415.0
201809,2018,9,22353.0,24653.0,0.0,0.0,47006.0
201810,2018,10,17484.0,18118.0,0.0,0.0,35602.0
201811,2018,11,4307.0,3344.0,0.0,0.0,7651.0
201812,2018,12,1644.0,909.0,0.0,0.0,2553.0
201901,2019,1,1088.0,563.0,0.0,0.0,1651.0
201902,2019,2,1245.0,874.0,0.0,0.0,2119.0
201903,2019,3,3922.0,3552.0,0.0,0.0,7474.0
201904,2019,4,15209.0,16513.0,0.0,0.0,31722.0
201905,2019,5,22508.0,24165.0,0.0,0.0,46673.0
201906,2019,6,24339.0,24719.0,0.0,0.0,49058.0
201907,2019,7,25778.0,27541.0,0.0,0.0,53319.0
201908,2019,8,31357.0,31457.0,0.0,0.0,62814.0
201909,2019,9,20746.0,24907.0,0.0,0.0,45653.0
201910,2019,10,17316.0,18802.0,0.0,0.0,36118.0
201911,2019,11,4589.0,3685.0,0.0,0.0,8274.0
201912,2019,12,1685.0,1025.0,0.0,0.0,2710.0
202001,2020,1,1236.0,765.0,0.0,0.0,2001.0
202002,2020,2,1835.0,1241.0,0.0,0.0,3076.0
202003,2020,3,1062.0,886.0,0.0,0.0,1948.0
202006,2020,6,9.0,3.0,0.0,0.0,12.0
202007,2020,7,5400.0,4352.0,0.0,0.0,9752.0
202008,2020,8,10599.0,9213.0,0.0,0.0,19812.0
202009,2020,9,5838.0,4603.0,0.0,0.0,10441.0
202010,2020,10,3816.0,2602.0,0.0,0.0,6418.0
202011,2020,11,371.0,214.0,0.0,0.0,585.0
202012,2020,12,55.0,44.0,0.0,0.0,99.0
202101,2021,1,45.0,15.0,0.0,0.0,60.0
202102,2021,2,10.0,4.0,0.0,0.0,14.0
202103,2021,3,105.0,89.0,0.0,0.0,194.0
202104,2021,4,486.0,538.0,0.0,0.0,1024.0
202105,2021,5,2155.0,2140.0,0.0,0.0,4295.0
202106,2021,6,7809.0,7015.0,0.0,0.0,14824.0
202107,2021,7,16499.0,17464.0,0.0,0.0,33963.0
202108,2021,8,21313.0,22262.0,0.0,0.0,43575.0
202109,2021,9,18727.0,18735.0,1.0,0.0,37463.0
202110,2021,10,16241.0,14929.0,0.0,0.0,31170.0
202111,2021,11,4857.0,4237.0,0.0,0.0,9094.0
202112,2021,12,678.0,515.0,0.0,0.0,1193.0
202201,2022,1,917.0,700.0,0.0,0.0,1617.0
202202,2022,2,1166.0,868.0,0.0,0.0,2034.0
202203,2022,3,3896.0,3493.0,0.0,0.0,7389.0
202204,2022,4,15639.0,18644.0,0.0,0.0,34283.0
202205,2022,5,22796.0,25458.0,0.0,0.0,48254.0
202206,2022,6,28175.0,29837.0,0.0,0.0,58012.0
202207,2022,7,31151.0,36223.0,0.0,0.0,67374.0
202208,2022,8,40301.0,45541.0,0.0,0.0,85842.0
202209,2022,9,30514.0,35681.0,0.0,1.0,66196.0
202210,2022,10,24511.0,26845.0,0.0,0.0,51356.0
