ID,Anho,Mes,Religioso,Religioso y otros,No religioso,Total
200401,2004,1,488.0,124.0,31.0,643.0
200402,2004,2,1090.0,250.0,61.0,1401.0
200403,2004,3,2219.0,689.0,197.0,3105.0
200404,2004,4,11200.0,3112.0,1242.0,15554.0
200405,2004,5,12405.0,3378.0,1077.0,16860.0
200406,2004,6,14379.0,3952.0,964.0,19295.0
200407,2004,7,23760.0,6402.0,1729.0,31891.0
200408,2004,8,35918.0,7493.0,2190.0,45601.0
200409,2004,9,15958.0,5428.0,1366.0,22752.0
200410,2004,10,10784.0,2932.0,840.0,14556.0
200411,2004,11,3239.0,957.0,214.0,4410.0
200412,2004,12,2819.0,808.0,175.0,3802.0
200501,2005,1,188.0,54.0,27.0,269.0
200502,2005,2,460.0,84.0,21.0,565.0
200503,2005,3,1281.0,1510.0,330.0,3121.0
200504,2005,4,1265.0,1755.0,287.0,3307.0
200505,2005,5,3725.0,4797.0,788.0,9310.0
200506,2005,6,5007.0,6752.0,860.0,12619.0
200507,2005,7,7385.0,9695.0,1724.0,18804.0
200508,2005,8,9314.0,13079.0,2438.0,24831.0
200509,2005,9,3949.0,6914.0,1305.0,12168.0
200510,2005,10,2309.0,4030.0,534.0,6873.0
200511,2005,11,327.0,938.0,123.0,1388.0
200512,2005,12,246.0,367.0,55.0,668.0
200601,2006,1,92.0,191.0,41.0,324.0
200602,2006,2,133.0,189.0,29.0,351.0
200603,2006,3,411.0,594.0,91.0,1096.0
200604,2006,4,3021.0,3710.0,720.0,7451.0
200605,2006,5,4361.0,5057.0,729.0,10147.0
200606,2006,6,5659.0,6289.0,1063.0,13011.0
200607,2006,7,7729.0,9286.0,1705.0,18720.0
200608,2006,8,11510.0,12189.0,2484.0,26183.0
200609,2006,9,5386.0,6860.0,1224.0,13470.0
200610,2006,10,2894.0,4170.0,636.0,7700.0
200611,2006,11,576.0,1031.0,148.0,1755.0
200612,2006,12,332.0,467.0,49.0,848.0
200701,2007,1,68.0,274.0,8.0,350.0
200702,2007,2,284.0,337.0,44.0,665.0
200703,2007,3,532.0,998.0,150.0,1680.0
200704,2007,4,2725.0,4605.0,785.0,8115.0
200705,2007,5,5254.0,6832.0,838.0,12924.0
200706,2007,6,5836.0,8266.0,1080.0,15182.0
200707,2007,7,8342.0,10307.0,1507.0,20156.0
200708,2007,8,10697.0,14026.0,2566.0,27289.0
200709,2007,9,5517.0,8361.0,1404.0,15282.0
200710,2007,10,3357.0,5236.0,850.0,9443.0
200711,2007,11,875.0,1403.0,218.0,2496.0
200712,2007,12,236.0,482.0,77.0,795.0
200801,2008,1,94.0,173.0,39.0,306.0
200802,2008,2,218.0,441.0,44.0,703.0
200803,2008,3,1750.0,2998.0,579.0,5327.0
200804,2008,4,2177.0,3035.0,436.0,5648.0
200805,2008,5,6909.0,7925.0,1167.0,16001.0
200806,2008,6,6734.0,7874.0,1296.0,15904.0
200807,2008,7,8601.0,10679.0,1786.0,21066.0
200808,2008,8,12588.0,14594.0,2814.0,29996.0
200809,2008,9,6896.0,8872.0,1610.0,17378.0
200810,2008,10,3678.0,5415.0,785.0,9878.0
200811,2008,11,827.0,1289.0,193.0,2309.0
200812,2008,12,402.0,576.0,107.0,1085.0
200901,2009,1,215.0,266.0,42.0,523.0
200902,2009,2,230.0,419.0,49.0,698.0
200903,2009,3,549.0,1088.0,213.0,1850.0
200904,2009,4,3916.0,5302.0,1098.0,10316.0
200905,2009,5,7189.0,8034.0,1275.0,16498.0
200906,2009,6,8045.0,9748.0,1561.0,19354.0
200907,2009,7,12021.0,12308.0,2423.0,26752.0
200908,2009,8,15899.0,16185.0,3462.0,35546.0
200909,2009,9,8868.0,9683.0,2072.0,20623.0
200910,2009,10,4773.0,5959.0,999.0,11731.0
200911,2009,11,743.0,1357.0,253.0,2353.0
200912,2009,12,348.0,575.0,87.0,1010.0
201001,2010,1,635.0,487.0,66.0,1188.0
201002,2010,2,721.0,830.0,89.0,1640.0
201003,2010,3,2463.0,3109.0,311.0,5883.0
201004,2010,4,8780.0,9463.0,1344.0,19587.0
201005,2010,5,15427.0,12041.0,1378.0,28846.0
201006,2010,6,18605.0,13371.0,1780.0,33756.0
201007,2010,7,23189.0,16869.0,2408.0,42466.0
201008,2010,8,36933.0,21691.0,2910.0,61534.0
201009,2010,9,20155.0,14872.0,1821.0,36848.0
201010,2010,10,14267.0,11261.0,1070.0,26598.0
201011,2010,11,4224.0,3511.0,340.0,8075.0
201012,2010,12,3305.0,2464.0,198.0,5967.0
201101,2011,1,290.0,307.0,47.0,644.0
201102,2011,2,337.0,467.0,16.0,820.0
201103,2011,3,1046.0,1853.0,124.0,3023.0
201104,2011,4,5838.0,7277.0,1039.0,14154.0
201105,2011,5,9315.0,9674.0,816.0,19805.0
201106,2011,6,11579.0,12422.0,1238.0,25239.0
201107,2011,7,12941.0,15884.0,2017.0,30842.0
201108,2011,8,17498.0,21039.0,2952.0,41489.0
201109,2011,9,11537.0,12856.0,1630.0,26023.0
201110,2011,10,6745.0,8483.0,1015.0,16243.0
201111,2011,11,1303.0,2046.0,242.0,3591.0
201112,2011,12,542.0,843.0,113.0,1498.0
201201,2012,1,382.0,442.0,48.0,872.0
201202,2012,2,488.0,760.0,57.0,1305.0
201203,2012,3,1385.0,1703.0,172.0,3260.0
201204,2012,4,5678.0,8031.0,1040.0,14749.0
201205,2012,5,9375.0,11401.0,1000.0,21776.0
201206,2012,6,11622.0,12590.0,1305.0,25517.0
201207,2012,7,13663.0,16964.0,2191.0,32818.0
201208,2012,8,16564.0,21287.0,3245.0,41096.0
201209,2012,9,10944.0,14731.0,1646.0,27321.0
201210,2012,10,7446.0,9819.0,826.0,18091.0
201211,2012,11,1357.0,2606.0,207.0,4170.0
201212,2012,12,573.0,821.0,89.0,1483.0
201301,2013,1,353.0,396.0,57.0,806.0
201302,2013,2,514.0,806.0,62.0,1382.0
201303,2013,3,2819.0,3894.0,515.0,7228.0
201304,2013,4,4581.0,6315.0,636.0,11532.0
201305,2013,5,10420.0,13639.0,1146.0,25205.0
201306,2013,6,12215.0,15637.0,1522.0,29374.0
201307,2013,7,15404.0,18817.0,2338.0,36559.0
201308,2013,8,19033.0,24698.0,2995.0,46726.0
201309,2013,9,12482.0,16977.0,1435.0,30894.0
201310,2013,10,6635.0,12181.0,791.0,19607.0
201311,2013,11,1322.0,3367.0,218.0,4907.0
201312,2013,12,506.0,1061.0,92.0,1659.0
201401,2014,1,252.0,611.0,43.0,906.0
201402,2014,2,452.0,461.0,57.0,970.0
201403,2014,3,1245.0,1723.0,182.0,3150.0
201404,2014,4,6709.0,9556.0,1082.0,17347.0
201405,2014,5,11777.0,13975.0,1602.0,27354.0
201406,2014,6,14263.0,16663.0,2095.0,33021.0
201407,2014,7,18729.0,17877.0,2975.0,39581.0
201408,2014,8,22883.0,24204.0,4131.0,51218.0
201409,2014,9,13342.0,18693.0,2422.0,34457.0
201410,2014,10,9476.0,12328.0,1401.0,23205.0
201411,2014,11,1290.0,3183.0,330.0,4803.0
201412,2014,12,594.0,1135.0,141.0,1870.0
201501,2015,1,346.0,745.0,126.0,1217.0
201502,2015,2,475.0,947.0,122.0,1544.0
201503,2015,3,1783.0,2884.0,413.0,5080.0
201504,2015,4,6453.0,9532.0,1736.0,17721.0
201505,2015,5,11346.0,17523.0,2207.0,31076.0
201506,2015,6,13182.0,19953.0,2788.0,35923.0
201507,2015,7,19366.0,22017.0,3411.0,44794.0
201508,2015,8,21278.0,28355.0,5161.0,54794.0
201509,2015,9,14281.0,20109.0,3039.0,37429.0
201510,2015,10,9259.0,14952.0,1365.0,25576.0
201511,2015,11,1317.0,3594.0,317.0,5228.0
201512,2015,12,585.0,1353.0,124.0,2062.0
201601,2016,1,299.0,896.0,109.0,1304.0
201602,2016,2,532.0,1067.0,134.0,1733.0
201603,2016,3,4639.0,5367.0,1061.0,11067.0
201604,2016,4,7292.0,6677.0,1131.0,15100.0
201605,2016,5,14420.0,16212.0,2144.0,32776.0
201606,2016,6,16629.0,19663.0,2778.0,39070.0
201607,2016,7,21260.0,20497.0,3714.0,45471.0
201608,2016,8,24164.0,24268.0,5272.0,53704.0
201609,2016,9,18176.0,18455.0,3518.0,40149.0
201610,2016,10,12327.0,14150.0,1745.0,28222.0
201611,2016,11,2307.0,3695.0,392.0,6394.0
201612,2016,12,928.0,1713.0,223.0,2864.0
201701,2017,1,405.0,839.0,110.0,1354.0
201702,2017,2,721.0,858.0,117.0,1696.0
201703,2017,3,2010.0,2645.0,521.0,5176.0
201704,2017,4,10798.0,13315.0,2812.0,26925.0
201705,2017,5,13478.0,19158.0,2711.0,35347.0
201706,2017,6,19250.0,18905.0,3464.0,41619.0
201707,2017,7,23785.0,19423.0,4262.0,47470.0
201708,2017,8,25814.0,25650.0,6216.0,57680.0
201709,2017,9,18243.0,20050.0,3896.0,42189.0
201710,2017,10,12376.0,16393.0,2572.0,31341.0
201711,2017,11,2813.0,3982.0,551.0,7346.0
201712,2017,12,1138.0,1445.0,310.0,2893.0
201801,2018,1,554.0,895.0,178.0,1627.0
201802,2018,2,1016.0,1004.0,161.0,2181.0
201803,2018,3,4511.0,5508.0,1037.0,11056.0
201804,2018,4,8589.0,11566.0,1913.0,22068.0
201805,2018,5,16701.0,20786.0,3178.0,40665.0
201806,2018,6,20070.0,21282.0,4333.0,45685.0
201807,2018,7,25001.0,21040.0,4826.0,50867.0
201808,2018,8,26976.0,27005.0,6434.0,60415.0
201809,2018,9,19388.0,23056.0,4562.0,47006.0
201810,2018,10,14079.0,18392.0,3131.0,35602.0
201811,2018,11,2510.0,4495.0,646.0,7651.0
201812,2018,12,642.0,1690.0,221.0,2553.0
201901,2019,1,478.0,1024.0,149.0,1651.0
201902,2019,2,885.0,963.0,271.0,2119.0
201903,2019,3,2864.0,3886.0,724.0,7474.0
201904,2019,4,12258.0,15825.0,3639.0,31722.0
201905,2019,5,18583.0,23064.0,5026.0,46673.0
201906,2019,6,18465.0,25031.0,5562.0,49058.0
201907,2019,7,24793.0,22725.0,5801.0,53319.0
201908,2019,8,26665.0,28471.0,7678.0,62814.0
201909,2019,9,18055.0,23397.0,4201.0,45653.0
201910,2019,10,13443.0,18807.0,3868.0,36118.0
201911,2019,11,2778.0,4552.0,944.0,8274.0
201912,2019,12,849.0,1570.0,291.0,2710.0
202001,2020,1,532.0,1252.0,217.0,2001.0
202002,2020,2,1095.0,1603.0,378.0,3076.0
202003,2020,3,706.0,1019.0,223.0,1948.0
202006,2020,6,6.0,6.0,0.0,12.0
202007,2020,7,3407.0,4253.0,2092.0,9752.0
202008,2020,8,6120.0,8606.0,5086.0,19812.0
202009,2020,9,2758.0,4656.0,3027.0,10441.0
202010,2020,10,1476.0,3051.0,1891.0,6418.0
202011,2020,11,130.0,292.0,163.0,585.0
202012,2020,12,29.0,51.0,19.0,99.0
202101,2021,1,17.0,33.0,10.0,60.0
202102,2021,2,2.0,10.0,2.0,14.0
202103,2021,3,64.0,79.0,51.0,194.0
202104,2021,4,305.0,452.0,267.0,1024.0
202105,2021,5,1238.0,1988.0,1069.0,4295.0
202106,2021,6,5132.0,6359.0,3333.0,14824.0
202107,2021,7,13701.0,13708.0,6554.0,33963.0
202108,2021,8,16521.0,18739.0,8315.0,43575.0
202109,2021,9,13200.0,16362.0,7901.0,37463.0
202110,2021,10,11014.0,13735.0,6421.0,31170.0
202111,2021,11,2879.0,4260.0,1955.0,9094.0
202112,2021,12,385.0,521.0,287.0,1193.0
202201,2022,1,506.0,754.0,357.0,1617.0
202202,2022,2,680.0,894.0,460.0,2034.0
202203,2022,3,2495.0,3169.0,1725.0,7389.0
202204,2022,4,13059.0,13072.0,8152.0,34283.0
202205,2022,5,19420.0,18134.0,10700.0,48254.0
202206,2022,6,21664.0,23288.0,13060.0,58012.0
202207,2022,7,26393.0,26458.0,14523.0,67374.0
202208,2022,8,35673.0,31177.0,18992.0,85842.0
202209,2022,9,21929.0,28006.0,16261.0,66196.0
202210,2022,10,17480.0,21381.0,12495.0,51356.0
